"Full_name","Short_name","Species","Phylum"
"Acidimicrobiaceae","Acidimi",NA,"Actinobacteria"
"Acidobacteriaceae1","Acidoba",NA,"Acidobacteria"
"Acidothermaceae","Acidoth",NA,"Actinobacteria"
"Anaerolineaceae","Anaerol",NA,"Chloroflexi"
"Anaeromyxobacteraceae1","Anaerom",NA,"Proteobacteria"
"Bacillaceae","Bacilla",NA,"Firmicutes"
"Bryobacteraceae","Bryobac",NA,"Acidobacteria"
"Chitinophagaceae1","Chitino",NA,"Bacteroidetes"
"Chthoniobacteraceae","Chthoni",NA,"Verrucomicrobia"
"Clostridiaceae1","Clostri","Clostridium_cellulovorans","Firmicutes"
"Desulfobacteraceae","Desul'bac",NA,"Proteobacteria"
"Desulfovibrionaceae","Desul'vib",NA,"Proteobacteria"
"Endomicrobiaceae2","Endomic",NA,"Elusimicrobia"
"Enterobacteriaceae","Enterob",NA,"Proteobacteria"
"Gaiellaceae","Gaiella",NA,"Actinobacteria"
"Gemmatimonadaceae","Gemmati",NA,"Gemmatimonadetes"
"Geobacteraceae","Geobact",NA,"Proteobacteria"
"Hyphomicrobiaceae1","Hyphomi",NA,"Proteobacteria"
"Isosphaeraceae","Isospha",NA,"Planctomycetes"
"Kofleriaceae","Kofleri",NA,"Proteobacteria"
"Ktedonobacteraceae1","Ktedono",NA,"Chloroflexi"
"Lentimicrobiaceae","Lentimi",NA,"Bacteroidetes"
"Methylocystaceae","Methylo",NA,"Proteobacteria"
"Micropepsaceae","Micrope",NA,"Proteobacteria"
"Moraxellaceae","Moraxel",NA,"Proteobacteria"
"Nitrosomonadaceae","Nitroso",NA,"Proteobacteria"
"Nocardiaceae","Nocardi",NA,"Actinobacteria"
"Opitutaceae","Opituta",NA,"Verrucomicrobia"
"Paenibacillaceae3","Paeniba","Paenibacillusp._RPCal-N_1-1","Firmicutes"
"Peptostreptococcaceae","Peptost",NA,"Firmicutes"
"Phaselicystidaceae","Phaseli",NA,"Proteobacteria"
"Planococcaceae","Planoco",NA,"Firmicutes"
"Polyangiaceae","Polyang",NA,"Proteobacteria"
"Prolixibacteraceae","Prolixi",NA,"Bacteroidetes"
"Pyrinomonadaceae","Pyrinom",NA,"Acidobacteria"
"Rhodospirillaceae3","Rhodosp","Aliidongia_dinghuensis","Proteobacteria"
"Ruminococcaceae","Ruminoc",NA,"Firmicutes"
"Solibacteraceae","Solibac",NA,"Acidobacteria"
"Spirochaetaceae1","Spiroch",NA,"Spirochaetes"
"Thermoanaerobacteraceae","Thermoa",NA,"Firmicutes"
"Verrucomicrobia_subdivision_33","Verru'_su","bacterium_Ellin5102","Verrucomicrobia"
"Verrucomicrobiaceae","Verru'cea",NA,"Verrucomicrobia"
"Vulgatibacteraceae","Vulgati",NA,"Proteobacteria"
